               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  44,            0.050238,            0.023741,           0.0038253,             0.55925,             0.83333,              0.7224,             0.31331,            0.055583,            0.017279,           0.0018807,            0.012146,           0.0011463,           0.0011463
                  45,            0.052983,            0.026628,           0.0040714,             0.67791,             0.83333,             0.77059,              0.4896,            0.049177,            0.017105,           0.0018742,           0.0099919,           0.0009919,           0.0009919
                  46,            0.052719,            0.025523,           0.0044128,             0.67791,             0.83333,             0.77059,              0.4896,            0.049177,            0.017105,           0.0018742,           0.0078296,          0.00082956,          0.00082956
                  47,             0.04745,            0.025078,           0.0028473,             0.68552,             0.83333,             0.80327,             0.47012,            0.050786,            0.016765,           0.0018811,           0.0056593,           0.0006593,           0.0006593
                  48,             0.04805,             0.02569,           0.0033687,             0.68552,             0.83333,             0.80327,             0.47012,            0.050786,            0.016765,           0.0018811,           0.0034811,          0.00048112,          0.00048112
                  49,            0.050807,            0.029542,           0.0030904,             0.72877,             0.83333,             0.81137,             0.51422,             0.04833,            0.016665,           0.0019337,            0.001295,          0.00029502,          0.00029502
                   0,             0.12168,            0.036007,            0.027231,                   0,                   0,                   0,                   0,             0.12296,            0.030302,            0.028359,              0.0991,              0.0001,              0.0001
                   1,             0.11792,            0.032491,            0.029558,          0.00073746,            0.083333,          0.00044441,          0.00026665,             0.12156,            0.029959,            0.028041,            0.097241,           0.0002406,           0.0002406
                   2,              0.1196,            0.035833,            0.026964,          0.00074738,            0.083333,          0.00048488,          0.00029093,             0.11931,            0.029678,            0.027548,            0.095302,            0.000302,            0.000302
                   3,             0.11774,             0.03392,            0.026436,          0.00075075,            0.083333,          0.00055742,          0.00033445,             0.11688,            0.029412,            0.027083,            0.093284,           0.0002842,           0.0002842
                   4,             0.11492,            0.032958,            0.026446,           0.0016847,             0.16667,           0.0011836,          0.00054693,             0.11495,            0.029111,            0.026688,            0.091187,           0.0001872,           0.0001872
                   0,             0.12168,            0.036007,            0.027231,                   0,                   0,                   0,                   0,             0.12296,            0.030302,            0.028359,              0.0991,              0.0001,              0.0001
                   1,             0.11789,            0.032498,            0.029547,          0.00073746,            0.083333,          0.00044463,          0.00026678,             0.12133,            0.029981,            0.027992,            0.097299,          0.00029851,          0.00029851
                   2,             0.11926,            0.035906,            0.026891,          0.00074516,            0.083333,          0.00049383,           0.0002963,             0.11799,            0.029808,            0.027275,            0.095495,          0.00049505,          0.00049505
                   3,             0.11613,            0.034187,            0.026159,           0.0016884,             0.16667,           0.0021009,          0.00068045,             0.11339,             0.02973,            0.026335,             0.09369,           0.0006896,           0.0006896
                   4,              0.1109,            0.033577,             0.02571,           0.0025612,             0.33333,           0.0035805,           0.0010312,              0.1072,            0.029769,            0.024903,            0.091882,          0.00088218,          0.00088218
                   5,             0.10524,            0.035044,            0.025252,           0.0034134,             0.41667,           0.0032585,          0.00089006,             0.10032,            0.030046,            0.023265,            0.090073,           0.0010728,           0.0010728
                   6,             0.10724,            0.040041,            0.025098,           0.0053622,             0.66667,           0.0079412,           0.0018967,            0.094478,            0.030133,            0.021403,            0.088261,           0.0012614,           0.0012614
                   7,              0.1017,            0.035504,            0.023015,           0.0047339,             0.58333,           0.0080623,           0.0021795,            0.090488,            0.029872,             0.01942,            0.086448,            0.001448,            0.001448
                   8,            0.095496,            0.033969,            0.019477,           0.0053535,             0.66667,            0.012081,           0.0030874,            0.087869,            0.029836,            0.018153,            0.084633,           0.0016327,           0.0016327
                   9,            0.092271,            0.031358,            0.018081,           0.0050175,                0.75,            0.026623,           0.0054995,             0.08463,            0.030044,            0.017108,            0.082815,           0.0018154,           0.0018154
                  10,            0.093782,            0.039619,            0.020047,           0.0055568,             0.83333,            0.032653,           0.0096614,            0.083006,            0.029757,             0.01585,            0.080996,            0.001996,            0.001996
                  11,             0.09139,            0.038856,            0.019111,           0.0055439,             0.83333,            0.058121,            0.019755,             0.08093,            0.029264,            0.014511,            0.079175,           0.0021748,           0.0021748
                  12,            0.090457,            0.038844,             0.01818,            0.005529,             0.83333,             0.15236,            0.052163,            0.079084,             0.02886,            0.013279,            0.077352,           0.0023515,           0.0023515
                  13,            0.086383,            0.037631,            0.016827,           0.0049153,                0.75,             0.30468,             0.11156,            0.077464,            0.028433,            0.012333,            0.075526,           0.0025263,           0.0025263
                  14,            0.087242,            0.048416,            0.016013,            0.095493,             0.66667,             0.48532,             0.17633,            0.074584,            0.028403,            0.011163,            0.073699,            0.002699,            0.002699
                  15,            0.083144,            0.038595,             0.01428,             0.31464,             0.66667,             0.53213,             0.19238,            0.073798,            0.027479,           0.0099403,             0.07187,           0.0028698,           0.0028698
                  16,             0.07894,            0.038039,            0.013686,             0.43397,                 0.5,             0.56265,             0.23949,            0.070033,            0.027446,           0.0086939,            0.070039,           0.0030386,           0.0030386
                  17,            0.067545,            0.036658,            0.010303,             0.56442,             0.51186,             0.62908,             0.25016,            0.070217,            0.026429,           0.0072804,            0.068205,           0.0032055,           0.0032055
                  18,            0.069198,            0.028904,           0.0091558,             0.38164,             0.41667,             0.63539,             0.25905,            0.066704,            0.025841,           0.0060507,             0.06637,           0.0033703,           0.0033703
                  19,            0.076103,            0.035192,            0.010153,             0.67618,             0.58333,             0.66419,             0.31461,            0.068519,            0.024597,           0.0051115,            0.064533,           0.0035332,           0.0035332
                  20,            0.074599,            0.043292,           0.0090752,             0.56642,             0.79552,              0.6494,             0.26171,            0.069008,            0.023479,           0.0043345,            0.062694,           0.0036941,           0.0036941
                  21,            0.076664,            0.033471,           0.0096696,             0.58766,             0.74651,             0.63113,             0.23538,            0.076835,            0.021317,           0.0035888,            0.060853,            0.003853,            0.003853
                  22,            0.074731,              0.0359,           0.0083992,             0.58802,             0.89088,             0.71412,              0.3009,            0.073024,            0.020824,           0.0030477,             0.05901,           0.0040099,           0.0040099
                  23,            0.072046,            0.032992,           0.0067773,             0.69456,             0.58333,             0.65466,             0.25821,            0.067889,            0.020811,           0.0026925,            0.057165,           0.0041649,           0.0041649
                  24,            0.070558,            0.031784,            0.005084,             0.66283,             0.58333,             0.62673,             0.34318,            0.076423,            0.019647,           0.0022282,            0.055318,           0.0043179,           0.0043179
                  25,            0.075723,            0.028897,           0.0054549,             0.99829,                 0.5,             0.52354,             0.24967,            0.079003,            0.019166,           0.0020793,            0.053469,           0.0044689,           0.0044689
                  26,            0.077121,            0.026626,           0.0057828,             0.62209,             0.58333,             0.63237,             0.29406,             0.07176,            0.019325,           0.0019661,            0.051618,           0.0046179,           0.0046179
                  27,            0.073191,             0.03141,           0.0057557,             0.62209,             0.58333,             0.63237,             0.29406,             0.07176,            0.019325,           0.0019661,            0.049765,           0.0047649,           0.0047649
                  28,            0.077461,            0.019935,           0.0043684,             0.24643,             0.58333,              0.2932,            0.069604,            0.091222,            0.018494,           0.0019218,             0.04791,             0.00491,             0.00491
                  29,            0.086173,            0.022652,           0.0077781,             0.42449,             0.58333,             0.63304,              0.1662,            0.075485,            0.018467,           0.0020969,            0.046053,           0.0050531,           0.0050531
                  30,             0.07177,             0.02523,           0.0050667,             0.42449,             0.58333,             0.63304,              0.1662,            0.075485,            0.018467,           0.0020969,            0.044194,           0.0051941,           0.0051941
                  31,            0.077315,            0.023742,            0.004548,             0.90882,             0.37745,             0.51338,             0.22857,            0.090046,            0.017306,           0.0020643,            0.042333,           0.0053333,           0.0053333
                  32,             0.08397,            0.026979,           0.0054976,             0.24715,                0.75,             0.46868,             0.12314,            0.074382,            0.017745,           0.0023276,             0.04047,           0.0054704,           0.0054704
                  33,            0.076456,            0.027282,           0.0052981,             0.24715,                0.75,             0.46868,             0.12314,            0.074382,            0.017745,           0.0023276,            0.038606,           0.0056056,           0.0056056
                  34,            0.077102,            0.031865,           0.0052104,              0.4799,                0.75,             0.63302,              0.3113,            0.072463,            0.016913,           0.0030186,            0.036739,           0.0057387,           0.0057387
                  35,            0.073345,            0.024189,           0.0042384,             0.53572,             0.57622,             0.50471,             0.19284,            0.081642,            0.015187,           0.0025317,             0.03487,           0.0058699,           0.0058699
                  36,            0.075876,            0.023488,           0.0035764,             0.53572,             0.57622,             0.50471,             0.19284,            0.081642,            0.015187,           0.0025317,            0.032999,           0.0059991,           0.0059991
                  37,            0.075355,            0.022869,           0.0044812,             0.56485,             0.70976,             0.53793,             0.23795,            0.076999,            0.014673,           0.0020152,            0.031126,           0.0061264,           0.0061264
                  38,            0.076116,            0.026397,            0.003907,               0.233,             0.58333,             0.34385,             0.15253,             0.08511,            0.013986,           0.0018791,            0.029252,           0.0062516,           0.0062516
                  39,            0.081399,            0.020788,           0.0035495,               0.233,             0.58333,             0.34385,             0.15253,             0.08511,            0.013986,           0.0018791,            0.027375,           0.0063749,           0.0063749
                  40,            0.072475,            0.026013,            0.003411,             0.50269,                0.75,             0.54999,             0.24881,            0.069562,            0.014585,           0.0017835,            0.025496,           0.0064962,           0.0064962
                  41,            0.067512,            0.025493,            0.003867,             0.24796,             0.80847,             0.49833,             0.22865,            0.079625,            0.014495,           0.0017051,            0.023616,           0.0066155,           0.0066155
                  42,            0.070101,             0.02874,           0.0040179,             0.24796,             0.80847,             0.49833,             0.22865,            0.079625,            0.014495,           0.0017051,            0.021733,           0.0067329,           0.0067329
                  43,            0.067131,            0.023919,           0.0055326,             0.48211,             0.82727,             0.62004,             0.24174,            0.070596,            0.014343,            0.001732,            0.019848,           0.0068482,           0.0068482
                  44,            0.066219,            0.020344,           0.0032592,             0.48211,             0.82727,             0.62004,             0.24174,            0.070596,            0.014343,            0.001732,            0.017962,           0.0069616,           0.0069616
                  45,            0.068608,            0.022805,           0.0035698,             0.45949,             0.83333,             0.57792,             0.23542,            0.078891,            0.013715,           0.0019114,            0.016073,            0.007073,            0.007073
                  46,            0.075042,            0.020465,           0.0032951,             0.45949,             0.83333,             0.57792,             0.23542,            0.078891,            0.013715,           0.0019114,            0.014182,           0.0071824,           0.0071824
                  47,            0.072089,            0.021243,           0.0028153,             0.66957,             0.64956,             0.67576,             0.31782,            0.069641,             0.01413,           0.0020484,             0.01229,           0.0072898,           0.0072898
                  48,            0.065589,            0.022119,           0.0030617,             0.66957,             0.64956,             0.67576,             0.31782,            0.069641,             0.01413,           0.0020484,            0.010395,           0.0073953,           0.0073953
                  49,            0.067661,            0.025814,            0.003133,             0.65706,              0.7423,             0.70135,             0.29114,            0.072013,            0.013659,           0.0023088,           0.0084988,           0.0074988,           0.0074988
                  50,            0.076509,            0.019664,           0.0036562,             0.65706,              0.7423,             0.70135,             0.29114,            0.072013,            0.013659,           0.0023088,            0.007525,            0.007525,            0.007525
                  51,             0.07951,            0.030612,            0.003894,             0.37703,             0.66667,             0.51193,             0.24457,            0.071688,            0.012956,           0.0027102,            0.007525,            0.007525,            0.007525
