               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  41,            0.029687,            0.021244,           0.0062002,             0.87803,             0.89918,             0.89702,             0.63997,            0.028863,            0.015304,           0.0081186,             0.00604,             0.00604,             0.00604
                  42,            0.027988,            0.022328,           0.0058118,             0.90252,             0.89239,             0.91877,             0.67892,               0.029,            0.015441,           0.0076084,            0.005941,            0.005941,            0.005941
                  43,            0.028291,            0.022093,           0.0055857,             0.92328,             0.86549,             0.92803,             0.69328,            0.027276,            0.014852,           0.0075836,            0.005842,            0.005842,            0.005842
                  44,            0.028244,            0.021263,           0.0049442,             0.90491,             0.90383,             0.92694,              0.6956,            0.028187,            0.014951,           0.0074987,            0.005743,            0.005743,            0.005743
                  45,            0.028138,             0.02217,           0.0054298,             0.90225,             0.88758,             0.91992,             0.67918,             0.02771,            0.015036,           0.0083532,            0.005644,            0.005644,            0.005644
                  46,            0.027548,            0.020294,           0.0051634,             0.92056,             0.88692,             0.92344,             0.69302,            0.027872,            0.015003,           0.0077968,            0.005545,            0.005545,            0.005545
                  47,            0.027913,            0.020062,           0.0053106,             0.90498,             0.88385,             0.91328,              0.6917,            0.027425,             0.01547,            0.008029,            0.005446,            0.005446,            0.005446
                  48,            0.027641,             0.02101,           0.0051856,             0.91873,             0.88522,             0.91371,             0.68662,            0.027887,            0.015493,           0.0078263,            0.005347,            0.005347,            0.005347
                  49,            0.027499,             0.02122,           0.0056604,             0.91559,             0.88635,             0.92014,             0.68808,            0.028035,            0.015482,           0.0077562,            0.005248,            0.005248,            0.005248
                  50,            0.026939,            0.021092,           0.0051218,             0.89721,              0.8939,              0.9213,             0.69605,            0.027121,            0.015263,           0.0075197,            0.005149,            0.005149,            0.005149
                  51,            0.026779,            0.020903,           0.0049348,             0.89386,              0.8892,             0.91607,             0.69213,            0.027458,            0.015129,           0.0080171,             0.00505,             0.00505,             0.00505
                  52,            0.027175,            0.021606,           0.0049397,             0.91385,             0.89145,             0.91305,             0.68657,            0.027839,            0.015298,           0.0080776,            0.004951,            0.004951,            0.004951
                  53,            0.026479,            0.020373,           0.0048527,                0.91,             0.87804,             0.91186,             0.68487,            0.027596,            0.015258,           0.0074248,            0.004852,            0.004852,            0.004852
                  54,            0.027051,            0.019903,           0.0051115,             0.90353,             0.87836,             0.91701,             0.69604,            0.027274,            0.015492,           0.0072937,            0.004753,            0.004753,            0.004753
                  55,            0.026385,            0.020608,           0.0050059,             0.88936,             0.87863,             0.91208,             0.69052,            0.026998,            0.015365,           0.0075245,            0.004654,            0.004654,            0.004654
                  56,            0.025495,            0.019033,           0.0046881,             0.90554,             0.87269,             0.90562,             0.67712,            0.027208,            0.015765,           0.0075645,            0.004555,            0.004555,            0.004555
